round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,29,3,cjfast_json,流式 I/O | decode | Person | stream,流式 I/O,decode,Person,stream,cjfastStreamDecodePerson,3.196727,4.436,4.481,raw/run-01/workload-29-cjfast_json,logs/run-01-workload-29-cjfast_json.log
1,30,1,yjson,流式 I/O | encode | Person | stream,流式 I/O,encode,Person,stream,yjsonStreamEncodePerson,2.781082,4.481,4.481,raw/run-01/workload-30-yjson,logs/run-01-workload-30-yjson.log
1,30,2,stdx_json,流式 I/O | encode | Person | stream,流式 I/O,encode,Person,stream,stdxStreamEncodePerson,2.371037,4.481,4.363,raw/run-01/workload-30-stdx_json,logs/run-01-workload-30-stdx_json.log
1,30,3,cjfast_json,流式 I/O | encode | Person | stream,流式 I/O,encode,Person,stream,cjfastStreamEncodePerson,2.796970,4.363,4.363,raw/run-01/workload-30-cjfast_json,logs/run-01-workload-30-cjfast_json.log
1,31,1,yjson,"深层嵌套 | decode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,yjsonStringDecodeDeepNestedProfiles,3.925231,4.363,4.253,raw/run-01/workload-31-yjson,logs/run-01-workload-31-yjson.log
1,31,2,stdx_json,"深层嵌套 | decode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,stdxStringDecodeDeepNestedProfiles,2.723148,4.253,4.153,raw/run-01/workload-31-stdx_json,logs/run-01-workload-31-stdx_json.log
1,31,3,cjfast_json,"深层嵌套 | decode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,cjfastStringDecodeDeepNestedProfiles,3.242204,4.153,4.153,raw/run-01/workload-31-cjfast_json,logs/run-01-workload-31-cjfast_json.log
1,32,1,yjson,"深层嵌套 | encode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,yjsonStringEncodeDeepNestedProfiles,3.097464,4.153,3.980,raw/run-01/workload-32-yjson,logs/run-01-workload-32-yjson.log
1,32,2,stdx_json,"深层嵌套 | encode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,stdxStringEncodeDeepNestedProfiles,2.326015,3.980,3.980,raw/run-01/workload-32-stdx_json,logs/run-01-workload-32-stdx_json.log
1,32,3,cjfast_json,"深层嵌套 | encode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,cjfastStringEncodeDeepNestedProfiles,2.968877,3.980,3.821,raw/run-01/workload-32-cjfast_json,logs/run-01-workload-32-cjfast_json.log
1,33,1,yjson,转义/Unicode | decode | String | bytes,转义/Unicode,decode,String,bytes,yjsonBytesDecodeEscapedUnicodeString,3.115577,3.821,3.821,raw/run-01/workload-33-yjson,logs/run-01-workload-33-yjson.log
1,33,2,stdx_json,转义/Unicode | decode | String | bytes,转义/Unicode,decode,String,bytes,stdxBytesDecodeEscapedUnicodeString,2.328651,3.821,3.755,raw/run-01/workload-33-stdx_json,logs/run-01-workload-33-stdx_json.log
1,33,3,cjfast_json,转义/Unicode | decode | String | bytes,转义/Unicode,decode,String,bytes,cjfastBytesDecodeEscapedUnicodeString,2.636695,3.755,3.755,raw/run-01/workload-33-cjfast_json,logs/run-01-workload-33-cjfast_json.log
1,34,1,yjson,转义/Unicode | decode | String | string,转义/Unicode,decode,String,string,yjsonStringDecodeEscapedUnicodeString,3.809872,3.755,3.535,raw/run-01/workload-34-yjson,logs/run-01-workload-34-yjson.log
1,34,2,stdx_json,转义/Unicode | decode | String | string,转义/Unicode,decode,String,string,stdxStringDecodeEscapedUnicodeString,2.446514,3.535,3.412,raw/run-01/workload-34-stdx_json,logs/run-01-workload-34-stdx_json.log
1,34,3,cjfast_json,转义/Unicode | decode | String | string,转义/Unicode,decode,String,string,cjfastStringDecodeEscapedUnicodeString,2.711396,3.412,3.412,raw/run-01/workload-34-cjfast_json,logs/run-01-workload-34-cjfast_json.log
1,35,1,yjson,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,yjsonBytesEncodeEscapedUnicodeString,2.882172,3.412,3.298,raw/run-01/workload-35-yjson,logs/run-01-workload-35-yjson.log
1,35,2,stdx_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,stdxBytesEncodeEscapedUnicodeString,2.172502,3.298,3.298,raw/run-01/workload-35-stdx_json,logs/run-01-workload-35-stdx_json.log
1,35,3,cjfast_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,cjfastBytesEncodeEscapedUnicodeString,2.469618,3.298,3.194,raw/run-01/workload-35-cjfast_json,logs/run-01-workload-35-cjfast_json.log
1,36,1,yjson,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,yjsonStringEncodeEscapedUnicodeString,2.629590,3.194,3.194,raw/run-01/workload-36-yjson,logs/run-01-workload-36-yjson.log
1,36,2,stdx_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,stdxStringEncodeEscapedUnicodeString,2.375888,3.194,3.179,raw/run-01/workload-36-stdx_json,logs/run-01-workload-36-stdx_json.log
1,36,3,cjfast_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,cjfastStringEncodeEscapedUnicodeString,2.616290,3.179,3.179,raw/run-01/workload-36-cjfast_json,logs/run-01-workload-36-cjfast_json.log
2,1,1,stdx_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,stdxStringDecodePrettyPerson,2.608451,3.179,3.084,raw/run-02/workload-01-stdx_json,logs/run-02-workload-01-stdx_json.log
2,1,2,cjfast_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,cjfastStringDecodePrettyPerson,3.067690,3.084,3.084,raw/run-02/workload-01-cjfast_json,logs/run-02-workload-01-cjfast_json.log
2,1,3,yjson,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,yjsonStringDecodePrettyPerson,5.604739,3.084,3.558,raw/run-02/workload-01-yjson,logs/run-02-workload-01-yjson.log
2,2,1,stdx_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,stdxStringEncodeEscapedUnicodeString,2.267393,3.558,3.558,raw/run-02/workload-02-stdx_json,logs/run-02-workload-02-stdx_json.log
2,2,2,cjfast_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,cjfastStringEncodeEscapedUnicodeString,2.488710,3.558,3.914,raw/run-02/workload-02-cjfast_json,logs/run-02-workload-02-cjfast_json.log
2,2,3,yjson,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,yjsonStringEncodeEscapedUnicodeString,2.754800,3.914,3.914,raw/run-02/workload-02-yjson,logs/run-02-workload-02-yjson.log
2,3,1,stdx_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,stdxBytesEncodeEscapedUnicodeString,2.310896,3.914,4.162,raw/run-02/workload-03-stdx_json,logs/run-02-workload-03-stdx_json.log
2,3,2,cjfast_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,cjfastBytesEncodeEscapedUnicodeString,2.693330,4.162,4.162,raw/run-02/workload-03-cjfast_json,logs/run-02-workload-03-cjfast_json.log
