round,case,mode,median_ns,report_sha256,report_path,log_path
7,writeNumericBytes,pure,2415488.537815,1e14255e84bd82ec9582658e64588cb596ec7d02fbf2b81b7d98dfea3de9a6bb,raw/run-07/writeNumericBytes-pure,logs/run-07-writeNumericBytes-pure.log
7,writeNumericBytes,native,582851.757689,d0301faa82db98f33ddc4e4f533df725b2ab3ea3f8034ec1e3a319403cbe7103,raw/run-07/writeNumericBytes-native,logs/run-07-writeNumericBytes-native.log
7,readNumericArray,pure,2662352.808081,489cef4c44c3fa8d89b3b33e759ce74a39130c3af87d03505be9695fa14bd991,raw/run-07/readNumericArray-pure,logs/run-07-readNumericArray-pure.log
7,readNumericArray,native,2752019.393939,83efce7afeffb62ceed34a63bfccbb9844f547fd05caf3bb57f7b84d9a20f7b4,raw/run-07/readNumericArray-native,logs/run-07-readNumericArray-native.log
7,readNumericDocument,pure,2171666.403019,b95d1a47f3fb9f8b1589113d6817d4e2065aa7715863e16c2638eecdd10a078b,raw/run-07/readNumericDocument-pure,logs/run-07-readNumericDocument-pure.log
7,readNumericDocument,native,1195815.747368,5d428fb2eac8882b4cbe92ac299a753fc1faf480fc62cad2ce3c74047ecc1d72,raw/run-07/readNumericDocument-native,logs/run-07-readNumericDocument-native.log
7,writeEscapedStrings,pure,1567744.000000,1fa658d16c92f51aba918d3ba02157645a3dfeef4bbd4954df4b835f92653d8f,raw/run-07/writeEscapedStrings-pure,logs/run-07-writeEscapedStrings-pure.log
7,writeEscapedStrings,native,1673964.606061,be6dee010860ba6766378ca1ce10b7a3fd8c537159af1a75d66f505c60bd10e7,raw/run-07/writeEscapedStrings-native,logs/run-07-writeEscapedStrings-native.log
7,writeEscapedBytes,pure,1364736.000000,6acccb4caa6273b69c629d626d6f0b5f4f039543c34ddc23c59dd4219ecae155,raw/run-07/writeEscapedBytes-pure,logs/run-07-writeEscapedBytes-pure.log
7,writeEscapedBytes,native,1363968.000000,5237667382b9eedf7d6586f3cd8f064125ae03089ae555432010276828ab5eec,raw/run-07/writeEscapedBytes-native,logs/run-07-writeEscapedBytes-native.log
8,writePlainStrings,native,1263782.603175,9d888473df6bc6cab3d6dbcaa62b9ee02ee576f78f0e98acdc7cbef9f45b1bb7,raw/run-08/writePlainStrings-native,logs/run-08-writePlainStrings-native.log
8,writePlainStrings,pure,1295500.190476,357b3fb7015d2ec7c6e5058157ccc7cd2113847faa4319a49344f244537c5ef5,raw/run-08/writePlainStrings-pure,logs/run-08-writePlainStrings-pure.log
8,writeEscapedBytes,native,1390859.130435,0464d57c48ebfe8924c1c8963997e96c3823956fda2521e44a40a34e950ffc42,raw/run-08/writeEscapedBytes-native,logs/run-08-writeEscapedBytes-native.log
