round,workload_position,library_position,library,workload,scenario,operation,payload,input_kind,source_case,elapsed_seconds,load1_before,load1_after,report_path,log_path
1,28,2,stdx_json,未知字段 | decode | Person | string,未知字段,decode,Person,string,stdxStringDecodeUnknownPerson,2.641809,4.499,4.860,raw/run-01/workload-28-stdx_json,logs/run-01-workload-28-stdx_json.log
1,28,3,cjfast_json,未知字段 | decode | Person | string,未知字段,decode,Person,string,cjfastStringDecodeUnknownPerson,2.955670,4.860,4.860,raw/run-01/workload-28-cjfast_json,logs/run-01-workload-28-cjfast_json.log
1,29,1,yjson,流式 I/O | decode | Person | stream,流式 I/O,decode,Person,stream,yjsonStreamDecodePerson,2.951194,4.860,4.710,raw/run-01/workload-29-yjson,logs/run-01-workload-29-yjson.log
1,29,2,stdx_json,流式 I/O | decode | Person | stream,流式 I/O,decode,Person,stream,stdxStreamDecodePerson,2.936640,4.710,4.710,raw/run-01/workload-29-stdx_json,logs/run-01-workload-29-stdx_json.log
1,29,3,cjfast_json,流式 I/O | decode | Person | stream,流式 I/O,decode,Person,stream,cjfastStreamDecodePerson,3.336140,4.710,4.653,raw/run-01/workload-29-cjfast_json,logs/run-01-workload-29-cjfast_json.log
1,30,1,yjson,流式 I/O | encode | Person | stream,流式 I/O,encode,Person,stream,yjsonStreamEncodePerson,2.517140,4.653,4.653,raw/run-01/workload-30-yjson,logs/run-01-workload-30-yjson.log
1,30,2,stdx_json,流式 I/O | encode | Person | stream,流式 I/O,encode,Person,stream,stdxStreamEncodePerson,2.224871,4.653,4.440,raw/run-01/workload-30-stdx_json,logs/run-01-workload-30-stdx_json.log
1,30,3,cjfast_json,流式 I/O | encode | Person | stream,流式 I/O,encode,Person,stream,cjfastStreamEncodePerson,2.857160,4.440,4.440,raw/run-01/workload-30-cjfast_json,logs/run-01-workload-30-cjfast_json.log
1,31,1,yjson,"深层嵌套 | decode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,yjsonStringDecodeDeepNestedProfiles,3.520618,4.440,4.245,raw/run-01/workload-31-yjson,logs/run-01-workload-31-yjson.log
1,31,2,stdx_json,"深层嵌套 | decode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,stdxStringDecodeDeepNestedProfiles,2.649999,4.245,4.225,raw/run-01/workload-31-stdx_json,logs/run-01-workload-31-stdx_json.log
1,31,3,cjfast_json,"深层嵌套 | decode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,decode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,cjfastStringDecodeDeepNestedProfiles,2.996996,4.225,4.225,raw/run-01/workload-31-cjfast_json,logs/run-01-workload-31-cjfast_json.log
1,32,1,yjson,"深层嵌套 | encode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,yjsonStringEncodeDeepNestedProfiles,2.820955,4.225,4.207,raw/run-01/workload-32-yjson,logs/run-01-workload-32-yjson.log
1,32,2,stdx_json,"深层嵌套 | encode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,stdxStringEncodeDeepNestedProfiles,2.445208,4.207,4.207,raw/run-01/workload-32-stdx_json,logs/run-01-workload-32-stdx_json.log
1,32,3,cjfast_json,"深层嵌套 | encode | ArrayList<HashMap<String, ArrayList<ProfileRecord>>> | string",深层嵌套,encode,"ArrayList<HashMap<String, ArrayList<ProfileRecord>>>",string,cjfastStringEncodeDeepNestedProfiles,3.154303,4.207,4.030,raw/run-01/workload-32-cjfast_json,logs/run-01-workload-32-cjfast_json.log
1,33,1,yjson,转义/Unicode | decode | String | bytes,转义/Unicode,decode,String,bytes,yjsonBytesDecodeEscapedUnicodeString,3.787898,4.030,4.027,raw/run-01/workload-33-yjson,logs/run-01-workload-33-yjson.log
1,33,2,stdx_json,转义/Unicode | decode | String | bytes,转义/Unicode,decode,String,bytes,stdxBytesDecodeEscapedUnicodeString,2.417521,4.027,4.027,raw/run-01/workload-33-stdx_json,logs/run-01-workload-33-stdx_json.log
1,33,3,cjfast_json,转义/Unicode | decode | String | bytes,转义/Unicode,decode,String,bytes,cjfastBytesDecodeEscapedUnicodeString,2.710141,4.027,3.945,raw/run-01/workload-33-cjfast_json,logs/run-01-workload-33-cjfast_json.log
1,34,1,yjson,转义/Unicode | decode | String | string,转义/Unicode,decode,String,string,yjsonStringDecodeEscapedUnicodeString,3.748642,3.945,4.430,raw/run-01/workload-34-yjson,logs/run-01-workload-34-yjson.log
1,34,2,stdx_json,转义/Unicode | decode | String | string,转义/Unicode,decode,String,string,stdxStringDecodeEscapedUnicodeString,2.308535,4.430,4.430,raw/run-01/workload-34-stdx_json,logs/run-01-workload-34-stdx_json.log
1,34,3,cjfast_json,转义/Unicode | decode | String | string,转义/Unicode,decode,String,string,cjfastStringDecodeEscapedUnicodeString,2.667035,4.430,4.796,raw/run-01/workload-34-cjfast_json,logs/run-01-workload-34-cjfast_json.log
1,35,1,yjson,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,yjsonBytesEncodeEscapedUnicodeString,3.210164,4.796,4.796,raw/run-01/workload-35-yjson,logs/run-01-workload-35-yjson.log
1,35,2,stdx_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,stdxBytesEncodeEscapedUnicodeString,2.295113,4.796,4.732,raw/run-01/workload-35-stdx_json,logs/run-01-workload-35-stdx_json.log
1,35,3,cjfast_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,cjfastBytesEncodeEscapedUnicodeString,2.593643,4.732,4.732,raw/run-01/workload-35-cjfast_json,logs/run-01-workload-35-cjfast_json.log
1,36,1,yjson,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,yjsonStringEncodeEscapedUnicodeString,3.030420,4.732,4.593,raw/run-01/workload-36-yjson,logs/run-01-workload-36-yjson.log
1,36,2,stdx_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,stdxStringEncodeEscapedUnicodeString,2.369304,4.593,4.593,raw/run-01/workload-36-stdx_json,logs/run-01-workload-36-stdx_json.log
1,36,3,cjfast_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,cjfastStringEncodeEscapedUnicodeString,2.418766,4.593,4.545,raw/run-01/workload-36-cjfast_json,logs/run-01-workload-36-cjfast_json.log
2,1,1,stdx_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,stdxStringDecodePrettyPerson,2.837639,4.545,4.545,raw/run-02/workload-01-stdx_json,logs/run-02-workload-01-stdx_json.log
2,1,2,cjfast_json,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,cjfastStringDecodePrettyPerson,3.212595,4.545,4.501,raw/run-02/workload-01-cjfast_json,logs/run-02-workload-01-cjfast_json.log
2,1,3,yjson,Pretty JSON | decode | Person | string,Pretty JSON,decode,Person,string,yjsonStringDecodePrettyPerson,5.309159,4.501,4.301,raw/run-02/workload-01-yjson,logs/run-02-workload-01-yjson.log
2,2,1,stdx_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,stdxStringEncodeEscapedUnicodeString,2.197751,4.301,4.301,raw/run-02/workload-02-stdx_json,logs/run-02-workload-02-stdx_json.log
2,2,2,cjfast_json,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,cjfastStringEncodeEscapedUnicodeString,2.433397,4.301,4.517,raw/run-02/workload-02-cjfast_json,logs/run-02-workload-02-cjfast_json.log
2,2,3,yjson,转义/Unicode | encode | String | string,转义/Unicode,encode,String,string,yjsonStringEncodeEscapedUnicodeString,3.019675,4.517,4.556,raw/run-02/workload-02-yjson,logs/run-02-workload-02-yjson.log
2,3,1,stdx_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,stdxBytesEncodeEscapedUnicodeString,2.112546,4.556,4.556,raw/run-02/workload-03-stdx_json,logs/run-02-workload-03-stdx_json.log
2,3,2,cjfast_json,转义/Unicode | encode | String | bytes,转义/Unicode,encode,String,bytes,cjfastBytesEncodeEscapedUnicodeString,2.387776,4.556,4.556,raw/run-02/workload-03-cjfast_json,logs/run-02-workload-03-cjfast_json.log
